0.01, 3, 8388608, 8, 512, 18.4946274, 0, 8.96180325358267, 169, 1352, 173, 88762, 16290, 130539, 16457, 8454922
0.01, 3, 8388608, 8, 512, 19.1492431, 1, 8.86255525354598, 170, 1360, 157, 80506, 16293, 130569, 16461, 8455468
0.01, 3, 8388608, 8, 512, 19.2025834, 1, 8.89836740050767, 151, 1208, 164, 84118, 16312, 130721, 16461, 8455468
0.01, 3, 8388608, 8, 1024, 12.4971949, 2, 8.8987145082731, 90, 720, 100, 101782, 8146, 65322, 8234, 8423881
0.01, 3, 8388608, 8, 1024, 10.3838429, 0, 8.9426313359768, 73, 584, 76, 77110, 8162, 65452, 8233, 8421835
0.01, 3, 8388608, 8, 1024, 10.3607796, 1, 8.83069101912089, 90, 720, 91, 92530, 8146, 65324, 8234, 8422863
0.01, 3, 8388608, 8, 1468, 6.4382255, 0, 8.89148898422718, 45, 360, 55, 80960, 5697, 45702, 5741, 8411783
0.01, 3, 8388608, 8, 1468, 9.4838224, 1, 8.84719878435135, 65, 520, 70, 102028, 5678, 45550, 5742, 8413255
0.01, 3, 8388608, 8, 1468, 7.7306425, 1, 8.91364695361027, 59, 472, 57, 83904, 5685, 45608, 5743, 8413265
0.01, 3, 8388608, 8, 2048, 5.3803584, 0, 8.95556479337669, 40, 320, 45, 92340, 4080, 32758, 4119, 8405271
0.01, 3, 8388608, 8, 2048, 7.0490807, 1, 8.9313632753842, 44, 352, 34, 67726, 4074, 32704, 4116, 8407283
0.01, 3, 8388608, 8, 2048, 4.6223771, 0, 8.99778642795152, 36, 288, 41, 84132, 4081, 32760, 4116, 8405241
0.01, 3, 8388608, 8, 4096, 4.8389422, 1, 9.03864755210551, 15, 120, 19, 77900, 2048, 16482, 2062, 8401079
0.01, 3, 8388608, 8, 4096, 2.3223495, 0, 9.0011338599854, 15, 120, 18, 73800, 2045, 16454, 2059, 8396959
0.01, 3, 8388608, 8, 4096, 2.3163823, 0, 8.92619426465697, 21, 168, 19, 77900, 2039, 16406, 2059, 8396959
0.01, 3, 8388608, 16, 512, 9.5175794, 1, 8.72633400756647, 182, 1460, 181, 92890, 16243, 130090, 16421, 8455069
0.01, 3, 8388608, 16, 512, 12.117686, 2, 8.81047010723804, 156, 1248, 188, 96502, 16271, 130320, 16425, 8455615
0.01, 3, 8388608, 16, 512, 10.9506321, 6, 8.74547343197707, 174, 1392, 170, 87214, 16257, 130208, 16429, 8457679
0.01, 3, 8388608, 16, 1024, 6.094851, 0, 8.77023545197315, 84, 672, 97, 99716, 8129, 65145, 8212, 8421626
0.01, 3, 8388608, 16, 1024, 4.5918137, 0, 8.73857503756881, 81, 648, 86, 88408, 8132, 65169, 8212, 8421626
0.01, 3, 8388608, 16, 1024, 6.7534164, 2, 9.2166290152818, 71, 568, 88, 90464, 8146, 65285, 8216, 8423702
0.01, 3, 8388608, 16, 1468, 4.6866735, 1, 8.92659556120634, 58, 466, 51, 75072, 5674, 45495, 5730, 8413136
0.01, 3, 8388608, 16, 1468, 6.3388972, 1, 8.91249646831836, 71, 568, 53, 78016, 5661, 45393, 5731, 8413146
0.01, 3, 8388608, 16, 1468, 3.3878344, 0, 8.76751922381421, 64, 514, 60, 88320, 5666, 45429, 5728, 8411654
0.01, 3, 8388608, 16, 2048, 2.2994644, 2, 8.72101696829001, 51, 408, 29, 59508, 4059, 32567, 4109, 8409256
0.01, 3, 8388608, 16, 2048, 2.2968947, 4, 8.67179387973415, 46, 368, 38, 77976, 4066, 32623, 4111, 8413360
0.01, 3, 8388608, 16, 2048, 2.3029395, 2, 9.0031312364671, 36, 288, 34, 69768, 4074, 32687, 4109, 8409256
0.01, 3, 8388608, 16, 4096, 1.1825152, 0, 8.88953823596239, 23, 184, 30, 118910, 2032, 16341, 2053, 8396900
0.01, 3, 8388608, 16, 4096, 1.1571773, 0, 8.98398086428642, 23, 186, 21, 86100, 2032, 16339, 2053, 8396900
0.01, 3, 8388608, 16, 4096, 1.1800939, 0, 9.11196724822124, 19, 152, 27, 106610, 2036, 16373, 2053, 8396900
0.01, 3, 8388608, 32, 512, 6.1107923, 2, 9.66376252472401, 163, 1304, 172, 88752, 16247, 130094, 16409, 8455455
0.01, 3, 8388608, 32, 512, 5.7509255, 5, 9.69489446530739, 148, 1184, 163, 84108, 16265, 130238, 16412, 8457003
0.01, 3, 8388608, 32, 512, 8.3187008, 7, 9.814827025614, 175, 1400, 156, 80496, 16241, 130048, 16415, 8458045
0.01, 3, 8388608, 32, 1024, 5.818654, 2, 9.89264909488459, 72, 576, 94, 94590, 8138, 65207, 8208, 8423622
0.01, 3, 8388608, 32, 1024, 4.6108514, 4, 9.32639249815391, 87, 696, 78, 80184, 8125, 65103, 8211, 8425688
0.01, 3, 8388608, 32, 1024, 5.7267879, 4, 9.44689800962806, 88, 706, 80, 82240, 8122, 65073, 8208, 8425658
0.01, 3, 8388608, 32, 1468, 1.8654545, 3, 10.9570112877658, 48, 384, 60, 88320, 5679, 45523, 5726, 8416020
0.01, 3, 8388608, 32, 1468, 3.1684082, 1, 9.098484713052, 56, 448, 68, 100096, 5669, 45443, 5724, 8413076
0.01, 3, 8388608, 32, 1468, 1.8685414, 2, 9.24875028431416, 71, 568, 58, 85376, 5655, 45331, 5725, 8414548
0.01, 3, 8388608, 32, 2048, 3.1046917, 0, 10.9998928382993, 40, 320, 45, 92340, 4064, 32599, 4103, 8405112
0.01, 3, 8388608, 32, 2048, 1.4305462, 1, 9.69370100647211, 33, 264, 41, 84132, 4072, 32663, 4104, 8407164
