0.01, 3, 8388608, 1, 512, 1931.4053974, 154, 33.0677736344217, 171, 684, 159, 82044, 16541, 66243, 16540, 8533676
0.01, 3, 8388608, 1, 512, 2028.2981979, 155, 33.0675687397009, 170, 680, 188, 97008, 16573, 66371, 16541, 8534192
0.01, 3, 8388608, 1, 1024, 935.5621272, 73, 32.9078641157084, 86, 344, 69, 70932, 8263, 33132, 8267, 8496489
0.01, 3, 8388608, 1, 1024, 948.0831726, 69, 32.9077803734894, 79, 316, 84, 86352, 8279, 33196, 8263, 8492377
0.01, 3, 8388608, 1, 1468, 628.6081425, 39, 33.4211650218722, 45, 180, 65, 95680, 5781, 23204, 5755, 8468941
0.01, 3, 8388608, 1, 1468, 622.337894, 45, 32.9082327384077, 56, 224, 53, 78016, 5769, 23156, 5761, 8477773
0.01, 3, 8388608, 1, 2048, 430.3026401, 35, 32.9442289480108, 38, 152, 29, 59508, 4128, 16592, 4133, 8476881
0.01, 3, 8388608, 1, 2048, 472.5661708, 37, 32.9256385403954, 40, 160, 40, 82080, 4139, 16636, 4135, 8480985
0.01, 3, 8388608, 1, 4096, 227.4654346, 15, 32.9794634455832, 16, 64, 22, 86165, 2073, 8452, 2065, 8458369
0.01, 3, 8388608, 1, 4096, 236.369723, 17, 32.9309751586139, 19, 76, 22, 90200, 2072, 8368, 2067, 8466569
0.01, 3, 8388608, 2, 512, 1648.8334589, 391, 34.0698123801431, 84, 336, 172, 88752, 8388, 33631, 16777, 8655968
0.01, 3, 8388608, 2, 512, 1696.9662442, 408, 38.4596698069683, 102, 408, 177, 91332, 8384, 33615, 16794, 8664740
0.01, 3, 8388608, 2, 1024, 857.6417432, 202, 37.7036097791797, 44, 176, 94, 96632, 4199, 16876, 8396, 8629101
0.01, 3, 8388608, 2, 1024, 878.7740818, 216, 34.0015396363637, 37, 148, 102, 104856, 4209, 16916, 8410, 8643493
0.01, 3, 8388608, 2, 1468, 479.969675, 106, 40.1075509420795, 24, 96, 51, 75072, 2929, 11796, 5822, 8567565
0.01, 3, 8388608, 2, 1468, 524.7852147, 121, 34.7809196447231, 30, 120, 51, 75072, 2919, 11756, 5837, 8589645
0.01, 3, 8388608, 2, 2048, 416.9384427, 97, 35.6712769193391, 25, 100, 43, 88236, 2106, 8504, 4195, 8604105
0.01, 3, 8388608, 2, 2048, 389.8181759, 94, 35.5409412621359, 21, 84, 41, 84132, 2096, 8464, 4192, 8597949
0.01, 3, 8388608, 2, 4096, 193.3499645, 44, 32.669803875969, 13, 52, 18, 73800, 1042, 4248, 2094, 8577269
0.01, 3, 8388608, 2, 4096, 160.3929624, 38, 32.7693488824101, 8, 32, 16, 65600, 1047, 4268, 2088, 8552669
0.01, 3, 8388608, 4, 512, 834.87831, 557, 36.9900218103033, 53, 212, 158, 81528, 4341, 17443, 16943, 8741624
0.01, 3, 8388608, 4, 512, 732.8323761, 500, 36.2611973272332, 37, 148, 158, 81528, 4334, 17415, 16886, 8712212
0.01, 3, 8388608, 4, 1024, 453.6336735, 304, 33.9911736184526, 25, 100, 89, 91492, 2177, 8788, 8498, 8733957
0.01, 3, 8388608, 4, 1024, 375.8758019, 271, 37.0161912751678, 19, 76, 95, 97660, 2197, 8868, 8465, 8700033
0.01, 3, 8388608, 4, 1468, 243.5268072, 167, 34.7896099241902, 11, 44, 52, 76544, 1514, 6136, 5883, 8657357
